"object_name";"r_start_date";"r_act_seqno";"r_object_id";"r_workflow_id";"r_runtime_state";"r_act_def_id";"workflow_name";"r_creation_date";"supervisor_name";"r_exec_time_out";"r_exec_os_error";"r_exec_launch"
"Create Contract Folder";08-10-2024 09:53:17;1;"4a001b5a8010ad62";"4d001b5a8007d505";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-08";08-10-2024 09:53:19;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";04-10-2024 15:05:45;1;"4a001b5a8010ad1c";"4d001b5a8007d502";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-04";04-10-2024 15:05:47;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-10-2024 16:18:27;1;"4a001b5a8010a9c2";"4d001b5a8007cd04";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-03";03-10-2024 16:18:28;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-10-2024 00:48:00;1;"4a001b5a8010a1a9";"4d001b5a8007ca0e";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-03";03-10-2024 00:48:01;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";03-10-2024 00:47:59;1;"4a001b5a8010a1aa";"4d001b5a8007c9d1";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-03";03-10-2024 00:48:01;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-10-2024 01:39:17;1;"4a001b5a8010a0e3";"4d001b5a8007c9cb";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-02";02-10-2024 01:39:19;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";02-10-2024 01:39:17;1;"4a001b5a8010a0e2";"4d001b5a8007c9ca";5;"4c001b5a8008fb98";"Aprobare Contract 2024-10-02";02-10-2024 01:39:18;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";20-9-2024 18:04:43;1;"4a001b5a80109b4d";"4d001b5a8007c715";5;"4c001b5a8008fb98";"Aprobare Contract 2024-09-20";20-9-2024 18:04:44;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";16-9-2024 22:21:24;1;"4a001b5a801098ba";"4d001b5a8007c64e";5;"4c001b5a8008fb98";"Aprobare Contract 2024-09-16";16-9-2024 22:21:26;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
"Create Contract Folder";16-9-2024 22:21:24;1;"4a001b5a801098b9";"4d001b5a8007c64d";5;"4c001b5a8008fb98";"Aprobare Contract 2024-09-16";16-9-2024 22:21:26;"usadmin";0;"java.lang.RuntimeException: Could not invoke the method 'createPath' from interface 'class com.planet.bt.modules.GenericOperations' from BOF module 'cf_bt_module'";0
